run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,635,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_armhf_O0_5hops,coreutils_armhf_O0_5hops,coreutils,armhf,O0,97966.0,45.06,643,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,319,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,coreutils_x64_O1_5hops,coreutils_x64_O1_5hops,coreutils,x64,O1,43652.0,39.57,324,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,683,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,complex_5hops,complex_5hops,complex_5hops,,,94203.0,42.46,691,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,396,IDA Pro on Ghidra
idaOnDragonOriginalDatasets,ida_resym_train_ep35,resym_test_5hops,resym_test_5hops,resym_test_5hops,,,81303.0,35.87,403,IDA Pro on Ghidra
ida_eval_results,ida_tydamin_ep35,tydamin_sample_5hops,tydamin_sample_5hops,tydamin_sample_5hops,,,24035.0,68.03,18,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,6,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_arm64_O0_5hops,coreutils_arm64_O0_ben_5hops,coreutils,arm64,O0,12209.0,81.05,8,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,9,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_arm64_O2_5hops,coreutils_arm64_O2_ben_5hops,coreutils,arm64,O2,17846.0,84.81,11,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,5,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_x64_O2_5hops,coreutils_x64_O2_ben_5hops,coreutils,x64,O2,11746.0,58.46,8,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,11,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,coreutils_arm64_O3_5hops,coreutils_arm64_O3_ben_5hops,coreutils,arm64,O3,23444.0,87.61,13,Only IDA Pro
ida_eval_results,ida_tydamin_ep35,Dragon,Dragon,Dragon,,,,,7,Only IDA Pro
